dot_number,expert_label,binary_label
2417683,BAD,BAD
2418273,GOOD,GOOD
2418519,BAD,BAD
2419885,GOOD,GOOD
2422330,GOOD,GOOD
2424607,GOOD,GOOD
2430473,BAD,BAD
2430843,GOOD,GOOD
2430892,BAD,BAD
2432731,GREAT,GOOD
2435684,GOOD,GOOD
2435708,BAD,BAD
2436886,BAD,BAD
2439684,GREAT,GOOD
2442413,BAD,BAD
2445006,BAD,BAD
2445715,BAD,BAD
2453244,BAD,BAD
2457131,BAD,BAD
2458869,BAD,BAD
2464138,BAD,BAD
2470605,BAD,BAD
2474081,BAD,BAD
2475854,BAD,BAD
2476759,GOOD,GOOD
2476836,BAD,BAD
2495281,BAD,BAD
2499261,BAD,BAD
2504217,BAD,BAD
2504522,BAD,BAD
2505255,BAD,BAD
2512351,BAD,BAD
2530759,BAD,BAD
2533583,BAD,BAD
2537703,BAD,BAD
2543353,BAD,BAD
2547242,BAD,BAD
2548643,BAD,BAD
2550741,BAD,BAD
2554325,BAD,BAD
2569516,BAD,BAD
2580320,BAD,BAD
2580485,GOOD,GOOD
2582595,BAD,BAD
2585482,BAD,BAD
2586647,GOOD,GOOD
2593031,BAD,BAD
2596226,GOOD,GOOD
2598647,GOOD,GOOD
2599187,GOOD,GOOD
2599387,BAD,BAD
2600707,BAD,BAD
2600935,GOOD,GOOD
2601575,GOOD,GOOD
2602133,GOOD,GOOD
2602615,GOOD,GOOD
2603960,OK,GOOD
2606715,OK,GOOD
2607610,BAD,BAD
2609813,GREAT,GOOD
2610980,GOOD,GOOD
2611162,OK,GOOD
2611741,BAD,BAD
2611839,GOOD,GOOD
2618411,BAD,BAD
2619173,GOOD,GOOD
2620453,GOOD,GOOD
2620711,OK,GOOD
2620944,BAD,BAD
2622657,OK,GOOD
2622753,GOOD,GOOD
2623612,GOOD,GOOD
2624105,BAD,BAD
2624890,BAD,BAD
2625741,GREAT,GOOD
2629812,BAD,BAD
2638611,GOOD,GOOD
2639421,BAD,BAD
2643481,GREAT,GOOD
2643592,BAD,BAD
2645759,BAD,BAD
2645789,GOOD,GOOD
2646690,BAD,BAD
2646899,OK,GOOD
2653259,BAD,BAD
2653304,GREAT,GOOD
2653865,GOOD,GOOD
2655807,OK,GOOD
2656472,GOOD,GOOD
2656626,BAD,BAD
2657373,OK,GOOD
2657626,OK,GOOD
2657781,BAD,BAD
2659679,GOOD,GOOD
2660355,OK,GOOD
2661346,GOOD,GOOD
2661522,BAD,BAD
2661644,GOOD,GOOD
2661948,OK,GOOD
2662621,BAD,BAD
2662811,BAD,BAD
2663197,BAD,BAD
2663247,OK,GOOD
2663672,BAD,BAD
2664158,OK,GOOD
2664468,BAD,BAD
2666159,OK,GOOD
2666587,BAD,BAD
2667868,GOOD,GOOD
2668050,BAD,BAD
2669031,GOOD,GOOD
2670848,OK,GOOD
2671257,OK,GOOD
2672689,GOOD,GOOD
2674321,BAD,BAD
2674952,GOOD,GOOD
2675849,OK,GOOD
2676002,OK,GOOD
2676852,GOOD,GOOD
2677410,OK,GOOD
2678001,OK,GOOD
2678052,BAD,BAD
2679042,GOOD,GOOD
2680196,OK,GOOD
2680547,OK,GOOD
2681845,GOOD,GOOD
2682004,OK,GOOD
2682555,BAD,BAD
2683060,BAD,BAD
2683105,GOOD,GOOD
2683270,GOOD,GOOD
2683536,OK,GOOD
2683576,GOOD,GOOD
2683654,GREAT,GOOD
2686001,GOOD,GOOD
2686431,BAD,BAD
2687194,GOOD,GOOD
2687381,BAD,BAD
2690052,BAD,BAD
2690567,GOOD,GOOD
2690853,GOOD,GOOD
2690974,GOOD,GOOD
2691536,BAD,BAD
2692898,GOOD,GOOD
2693472,GOOD,GOOD
2693998,GOOD,GOOD
2694474,BAD,BAD
2695620,BAD,BAD
2695842,GOOD,GOOD
2697244,GOOD,GOOD
2698657,BAD,BAD
2699017,GOOD,GOOD
2699770,GOOD,GOOD
2700027,BAD,BAD
2704122,GOOD,GOOD
2704484,GOOD,GOOD
2706928,BAD,BAD
2707232,BAD,BAD
2707413,GREAT,GOOD
2707812,BAD,BAD
2709412,GOOD,GOOD
2709694,BAD,BAD
2712781,BAD,BAD
2717801,BAD,BAD
2718908,BAD,BAD
2719269,BAD,BAD
2719910,GOOD,GOOD
2720053,GOOD,GOOD
2727480,BAD,BAD
2730416,OK,GOOD
2730694,BAD,BAD
2730944,GOOD,GOOD
2732756,OK,GOOD
2734147,GOOD,GOOD
2734816,BAD,BAD
2735491,GOOD,GOOD
2736843,GOOD,GOOD
2738975,OK,GOOD
2739427,GOOD,GOOD
2739758,BAD,BAD
2740119,BAD,BAD
2741177,BAD,BAD
2741490,GOOD,GOOD
2742206,GOOD,GOOD
2742492,BAD,BAD
2748793,OK,GOOD
2750009,GOOD,GOOD
2752590,GOOD,GOOD
2753589,OK,GOOD
2757022,OK,GOOD
2758870,GOOD,GOOD
2759146,GOOD,GOOD
2761870,GREAT,GOOD
2762434,BAD,BAD
2762481,OK,GOOD
2763225,OK,GOOD
2763312,GOOD,GOOD
2763668,BAD,BAD
2764002,OK,GOOD
2764104,BAD,BAD
2764978,GOOD,GOOD
2767808,GOOD,GOOD
2767980,BAD,BAD
2768336,GOOD,GOOD
2768831,OK,GOOD
2769635,BAD,BAD
2769750,OK,GOOD
2769798,BAD,BAD
2770559,GOOD,GOOD
2771118,BAD,BAD
2771617,OK,GOOD
2774014,OK,GOOD
2774789,OK,GOOD
2775990,GOOD,GOOD
2777748,OK,GOOD
2778009,GOOD,GOOD
2780248,BAD,BAD
2787214,BAD,BAD
2788411,GREAT,GOOD
2797199,BAD,BAD
2802940,BAD,BAD
2805075,BAD,BAD
2806059,OK,GOOD
2806074,BAD,BAD
2806908,GREAT,GOOD
2807678,GOOD,GOOD
2808624,BAD,BAD
2810060,BAD,BAD
2818158,BAD,BAD
2822401,GREAT,GOOD
2824672,BAD,BAD
2827183,BAD,BAD
2831655,BAD,BAD
2838002,BAD,BAD
2848081,GOOD,GOOD
2848622,OK,GOOD
2850496,BAD,BAD
2850629,GOOD,GOOD
285258,BAD,BAD
2854401,OK,GOOD
2854863,GOOD,GOOD
285579,BAD,BAD
2856222,BAD,BAD
2865965,BAD,BAD
2866237,GOOD,GOOD
2866353,OK,GOOD
2867088,GOOD,GOOD
2869951,GOOD,GOOD
2870723,BAD,BAD
2873682,BAD,BAD
2876126,BAD,BAD
2877047,BAD,BAD
2877615,BAD,BAD
2879541,OK,GOOD
2881157,BAD,BAD
2885390,OK,GOOD
2887751,BAD,BAD
2900688,OK,GOOD
2900721,BAD,BAD
2900851,BAD,BAD
2903048,GOOD,GOOD
2904566,GOOD,GOOD
2907310,BAD,BAD
2907833,BAD,BAD
2914693,GOOD,GOOD
2922872,GOOD,GOOD
2923315,BAD,BAD
2930422,BAD,BAD
2946740,GOOD,GOOD
2952985,BAD,BAD
2970652,GOOD,GOOD
2978646,BAD,BAD
2980980,GOOD,GOOD
2983716,BAD,BAD
2987850,OK,GOOD
2989203,OK,GOOD
2993121,GOOD,GOOD
2994411,BAD,BAD
2995559,GREAT,GOOD
2995849,GOOD,GOOD
2998332,BAD,BAD
3003561,OK,GOOD
3011059,GOOD,GOOD
3012958,BAD,BAD
3014976,GOOD,GOOD
3018294,BAD,BAD
3018354,BAD,BAD
3031907,BAD,BAD
3037446,BAD,BAD
3038906,BAD,BAD
3045487,BAD,BAD
3048884,GREAT,GOOD
3051481,GREAT,GOOD
3056035,BAD,BAD
3059449,GOOD,GOOD
3063072,GOOD,GOOD
3063306,GOOD,GOOD
3063877,GOOD,GOOD
3067717,GREAT,GOOD
3073471,GOOD,GOOD
3079561,BAD,BAD
3087208,GOOD,GOOD
3087212,GOOD,GOOD
3087500,GOOD,GOOD
3088761,GOOD,GOOD
3091813,GOOD,GOOD
3092459,BAD,BAD
3094079,BAD,BAD
3106331,BAD,BAD
3109416,GOOD,GOOD
3111376,BAD,BAD
3129583,GREAT,GOOD
3130182,BAD,BAD
3133550,GOOD,GOOD
3138788,BAD,BAD
3138977,GOOD,GOOD
3141737,BAD,BAD
3142729,BAD,BAD
3159730,BAD,BAD
3160317,GOOD,GOOD
3163973,BAD,BAD
3164226,GOOD,GOOD
3164714,GOOD,GOOD
3165845,BAD,BAD
3177601,BAD,BAD
3179543,GOOD,GOOD
3185115,GOOD,GOOD
3186547,BAD,BAD
3190011,BAD,BAD
3192439,BAD,BAD
3192479,BAD,BAD
3203874,GOOD,GOOD
3207209,OK,GOOD
3210029,GOOD,GOOD
3217495,GOOD,GOOD
3218846,BAD,BAD
3220124,BAD,BAD
3227012,GOOD,GOOD
3228356,OK,GOOD
3229166,BAD,BAD
3233405,BAD,BAD
3233785,BAD,BAD
3236490,OK,GOOD
3240058,BAD,BAD
3240733,BAD,BAD
3245343,BAD,BAD
3247672,BAD,BAD
3247855,GOOD,GOOD
3248257,GREAT,GOOD
3249577,BAD,BAD
3251904,BAD,BAD
3253698,BAD,BAD
3254709,BAD,BAD
3257754,BAD,BAD
3261152,GOOD,GOOD
3263476,GOOD,GOOD
3264138,GREAT,GOOD
3264384,GOOD,GOOD
3265461,BAD,BAD
3272559,BAD,BAD
3274004,GOOD,GOOD
3274053,BAD,BAD
3274474,GREAT,GOOD
3276499,BAD,BAD
3278583,BAD,BAD
3280234,GOOD,GOOD
3281523,BAD,BAD
3282739,BAD,BAD
3286327,BAD,BAD
3288891,GOOD,GOOD
329192,GOOD,GOOD
3294286,GOOD,GOOD
3294849,BAD,BAD
3298789,BAD,BAD
3301937,GOOD,GOOD
3307859,BAD,BAD
3312689,BAD,BAD
3313354,BAD,BAD
3315327,BAD,BAD
3319539,BAD,BAD
3321610,BAD,BAD
3324856,BAD,BAD
3325187,BAD,BAD
3326371,BAD,BAD
3332652,BAD,BAD
3333987,GREAT,GOOD
3334593,BAD,BAD
3338005,GOOD,GOOD
3338695,OK,GOOD
3348269,BAD,BAD
3348420,BAD,BAD
3354254,GREAT,GOOD
3355456,BAD,BAD
3357395,BAD,BAD
3357476,GREAT,GOOD
3359214,BAD,BAD
3360930,GOOD,GOOD
3362271,BAD,BAD
3362281,BAD,BAD
3368660,OK,GOOD
3370140,GOOD,GOOD
3373801,BAD,BAD
3384447,GOOD,GOOD
3384625,OK,GOOD
3387736,BAD,BAD
3397319,GOOD,GOOD
3407529,GREAT,GOOD
3409258,GOOD,GOOD
3409350,GOOD,GOOD
3420729,BAD,BAD
3423320,GOOD,GOOD
3430209,GOOD,GOOD
3431708,BAD,BAD
3432677,BAD,BAD
3435289,GOOD,GOOD
3437565,BAD,BAD
3440956,GOOD,GOOD
3442477,GOOD,GOOD
3449384,BAD,BAD
3452744,GOOD,GOOD
3459166,BAD,BAD
3462936,GOOD,GOOD
3465789,GOOD,GOOD
3469330,GOOD,GOOD
3471507,BAD,BAD
3473767,BAD,BAD
3474602,GOOD,GOOD
3475474,BAD,BAD
3475927,BAD,BAD
3476740,BAD,BAD
3479590,GOOD,GOOD
3489741,GOOD,GOOD
3492952,BAD,BAD
3493401,GOOD,GOOD
3495472,BAD,BAD
3496502,GOOD,GOOD
3501936,BAD,BAD
3502698,GOOD,GOOD
3503189,GOOD,GOOD
3505689,GOOD,GOOD
3509976,BAD,BAD
3516778,BAD,BAD
3520610,BAD,BAD
352286,GOOD,GOOD
3526922,BAD,BAD
3534822,OK,GOOD
3537182,GOOD,GOOD
3537836,GOOD,GOOD
3540467,BAD,BAD
3541519,BAD,BAD
3546294,BAD,BAD
3547622,BAD,BAD
3550099,BAD,BAD
3556121,GOOD,GOOD
3563167,BAD,BAD
3575974,GOOD,GOOD
3581657,BAD,BAD
3584080,BAD,BAD
3584687,GOOD,GOOD
3590578,BAD,BAD
3597136,GOOD,GOOD
3597276,GOOD,GOOD
3598096,BAD,BAD
3599315,BAD,BAD
3601494,BAD,BAD
3604156,GOOD,GOOD
3604547,BAD,BAD
3611650,GOOD,GOOD
3612893,BAD,BAD
3612999,GOOD,GOOD
3615323,BAD,BAD
3618901,OK,GOOD
3618917,GOOD,GOOD
3619475,BAD,BAD
3620639,BAD,BAD
3629302,BAD,BAD
3641894,BAD,BAD
3651357,BAD,BAD
3655087,GOOD,GOOD
3655309,BAD,BAD
3660055,OK,GOOD
3664999,BAD,BAD
3667007,BAD,BAD
3668568,BAD,BAD
3673378,BAD,BAD
3673627,BAD,BAD
3674653,BAD,BAD
3678142,OK,GOOD
3679944,BAD,BAD
3693227,BAD,BAD
3709513,OK,GOOD
3712935,BAD,BAD
3722763,BAD,BAD
3723101,BAD,BAD
3738428,GOOD,GOOD
3747570,BAD,BAD
3748531,BAD,BAD
3753866,BAD,BAD
3772104,BAD,BAD
3774352,BAD,BAD
3777856,GREAT,GOOD
3783838,BAD,BAD
3788193,BAD,BAD
3788233,GOOD,GOOD
3793438,BAD,BAD
3802179,BAD,BAD
3803636,BAD,BAD
3812452,BAD,BAD
3819082,BAD,BAD
3848130,BAD,BAD
3855556,BAD,BAD
3856610,GOOD,GOOD
3857930,BAD,BAD
3859498,GREAT,GOOD
3861325,GOOD,GOOD
3868764,GOOD,GOOD
3869688,BAD,BAD
3874742,BAD,BAD
3876237,GOOD,GOOD
3881106,BAD,BAD
3900052,BAD,BAD
3901056,BAD,BAD
3902794,BAD,BAD
3904449,GOOD,GOOD
3905259,BAD,BAD
3908643,BAD,BAD
3909814,BAD,BAD
3913161,GOOD,GOOD
3913855,BAD,BAD
3916779,BAD,BAD
3918030,GOOD,GOOD
3919604,BAD,BAD
3924635,BAD,BAD
3925800,BAD,BAD
3937354,BAD,BAD
3938695,BAD,BAD
3946795,GOOD,GOOD
3948191,BAD,BAD
395305,GREAT,GOOD
3954044,BAD,BAD
3957871,BAD,BAD
3959842,BAD,BAD
3962024,BAD,BAD
3971951,GREAT,GOOD
397408,GOOD,GOOD
3982762,BAD,BAD
3988947,OK,GOOD
3998891,GOOD,GOOD
4002842,GOOD,GOOD
4004539,GOOD,GOOD
4005306,BAD,BAD
4010115,GOOD,GOOD
4012421,BAD,BAD
4013678,BAD,BAD
4024811,BAD,BAD
4025896,BAD,BAD
4026700,BAD,BAD
4037373,BAD,BAD
4040901,BAD,BAD
4042930,GOOD,GOOD
4045911,GOOD,GOOD
4048937,BAD,BAD
4050470,BAD,BAD
4054827,GOOD,GOOD
4054912,GREAT,GOOD
4058962,GOOD,GOOD
4058988,OK,GOOD
4061463,BAD,BAD
4063539,BAD,BAD
4072127,BAD,BAD
4082186,BAD,BAD
4084561,BAD,BAD
4089202,GOOD,GOOD
4109723,BAD,BAD
4112277,BAD,BAD
4114366,BAD,BAD
4114924,GREAT,GOOD
4126304,BAD,BAD
4126321,BAD,BAD
4126703,BAD,BAD
4136077,BAD,BAD
4136975,GOOD,GOOD
4137161,BAD,BAD
4137851,BAD,BAD
4138570,BAD,BAD
4145383,GOOD,GOOD
4147309,BAD,BAD
4147793,BAD,BAD
4148415,BAD,BAD
4151484,GOOD,GOOD
4153185,GOOD,GOOD
4153643,BAD,BAD
4155383,BAD,BAD
4155503,OK,GOOD
4158341,GOOD,GOOD
4159926,BAD,BAD
4161082,BAD,BAD
4164551,BAD,BAD
4165600,BAD,BAD
4166044,BAD,BAD
4167148,BAD,BAD
4176029,BAD,BAD
4176082,OK,GOOD
4177422,BAD,BAD
4181922,GREAT,GOOD
4182546,GOOD,GOOD
4183387,BAD,BAD
4184140,GREAT,GOOD
4184636,GOOD,GOOD
4185689,BAD,BAD
4189431,BAD,BAD
4191107,BAD,BAD
4198321,BAD,BAD
4200022,BAD,BAD
4200801,GOOD,GOOD
4201138,GOOD,GOOD
420403,BAD,BAD
4204654,BAD,BAD
4204688,BAD,BAD
4207324,GOOD,GOOD
4208810,BAD,BAD
4210628,BAD,BAD
4216182,BAD,BAD
4216943,BAD,BAD
4222860,BAD,BAD
4225091,BAD,BAD
4225737,BAD,BAD
4230401,BAD,BAD
4231474,BAD,BAD
4233448,BAD,BAD
4238408,BAD,BAD
4241303,BAD,BAD
4242432,BAD,BAD
4242855,BAD,BAD
4243684,BAD,BAD
4248193,BAD,BAD
4251388,BAD,BAD
4253050,BAD,BAD
4255019,GOOD,GOOD
4255302,GOOD,GOOD
4258561,BAD,BAD
4261092,GOOD,GOOD
4262200,GREAT,GOOD
4265187,BAD,BAD
4265650,BAD,BAD
4270603,BAD,BAD
4271490,BAD,BAD
4272928,BAD,BAD
4276718,OK,GOOD
4281742,OK,GOOD
4286222,BAD,BAD
4286436,GOOD,GOOD
4291270,BAD,BAD
4293593,GOOD,GOOD
4300830,BAD,BAD
4302373,GOOD,GOOD
4306558,BAD,BAD
4310951,GOOD,GOOD
4320750,BAD,BAD
4323468,BAD,BAD
4325617,BAD,BAD
4327522,BAD,BAD
4328741,GOOD,GOOD
4332124,BAD,BAD
4336133,BAD,BAD
4338841,GOOD,GOOD
4347055,GOOD,GOOD
4349410,BAD,BAD
4350741,BAD,BAD
4352953,BAD,BAD
4353038,BAD,BAD
4354646,GOOD,GOOD
4355044,BAD,BAD
4359048,BAD,BAD
4360642,OK,GOOD
4369992,BAD,BAD
4371388,OK,GOOD
4371965,GOOD,GOOD
4372911,BAD,BAD
4373214,BAD,BAD
4374192,BAD,BAD
4375711,BAD,BAD
4375909,BAD,BAD
4378611,GOOD,GOOD
4380363,GOOD,GOOD
4382017,BAD,BAD
4386583,GOOD,GOOD
4389773,BAD,BAD
4397466,OK,GOOD
4398544,GOOD,GOOD
4399519,GOOD,GOOD
4404565,GOOD,GOOD
4405294,OK,GOOD
4405368,GOOD,GOOD
4406981,BAD,BAD
4409325,GOOD,GOOD
4415312,GOOD,GOOD
4421779,BAD,BAD
4424541,BAD,BAD
4424955,GOOD,GOOD
4429249,BAD,BAD
4431106,BAD,BAD
4433928,BAD,BAD
4438670,GOOD,GOOD
4441305,OK,GOOD
4447094,GOOD,GOOD
4449382,GOOD,GOOD
4451251,BAD,BAD
4453417,BAD,BAD
4455216,BAD,BAD
4456022,BAD,BAD
4456547,BAD,BAD
4457456,OK,GOOD
4459260,BAD,BAD
4460092,BAD,BAD
4464972,GOOD,GOOD
4465154,BAD,BAD
4467956,BAD,BAD
446956,GREAT,GOOD
4477151,BAD,BAD
4480531,GOOD,GOOD
4488209,OK,GOOD
4488409,OK,GOOD
500447,BAD,BAD
509070,GREAT,GOOD
509113,BAD,BAD
545169,BAD,BAD
54756,GOOD,GOOD
601628,BAD,BAD
603682,GOOD,GOOD
604989,GOOD,GOOD
607998,GREAT,GOOD
618410,BAD,BAD
625429,BAD,BAD
628906,GREAT,GOOD
629029,BAD,BAD
658424,BAD,BAD
661491,BAD,BAD
662124,BAD,BAD
683431,BAD,BAD
732859,GOOD,GOOD
741999,BAD,BAD
759281,BAD,BAD
77512,BAD,BAD
798666,GOOD,GOOD
836764,BAD,BAD
854566,BAD,BAD
856154,BAD,BAD
872674,BAD,BAD
879314,BAD,BAD
890725,BAD,BAD
892498,BAD,BAD
893568,BAD,BAD
896764,BAD,BAD
926753,BAD,BAD
937154,BAD,BAD
947444,BAD,BAD
949729,BAD,BAD
961805,OK,GOOD
967650,BAD,BAD
970267,BAD,BAD
975173,BAD,BAD
