dot_number,expert_label
3423320,GOOD
3430209,GOOD
3435289,GOOD
3449384,BAD
3459166,BAD
3462936,GOOD
3469330,GOOD
3473767,BAD
3475927,BAD
3476740,BAD
3479590,GOOD
3489741,GOOD
3492952,BAD
3493401,GOOD
3496502,GOOD
3501936,BAD
3502698,GOOD
3503189,GOOD
3505689,GOOD
3509976,BAD
3516778,BAD
3520610,BAD
3534822,OK
3537836,GOOD
3540467,BAD
3541519,BAD
3546294,BAD
3547622,BAD
3556121,GOOD
3563167,BAD
3575974,GOOD
3598096,BAD
3599315,BAD
3604156,GOOD
3604547,BAD
3611650,GOOD
3612893,BAD
3618917,GOOD
3655309,BAD
3664999,BAD
3667007,BAD
3673378,BAD
3679944,BAD
3693227,BAD
3723101,BAD
3738428,GOOD
3753866,BAD
3772104,BAD
3777856,GREAT
3788193,BAD
3848130,BAD
3856610,GOOD
3859498,GREAT
3868764,GOOD
3900052,BAD
3901056,BAD
3902794,BAD
3904449,GOOD
3905259,BAD
3908643,BAD
3909814,BAD
3913161,GOOD
3913855,BAD
3919604,BAD
3948191,BAD
3954044,BAD
3957871,BAD
3959842,BAD
3962024,BAD
3988947,OK
4002842,GOOD
4004539,GOOD
4010115,GOOD
4024811,BAD
4025896,BAD
4026700,BAD
4037373,BAD
4040901,BAD
4045911,GOOD
4048937,BAD
4054827,GOOD
4054912,GREAT
4058962,GOOD
4061463,BAD
4072127,BAD
4109723,BAD
4126304,BAD
4126321,BAD
4126703,BAD
4136077,BAD
4145383,GOOD
4147793,BAD
4148415,BAD
4151484,GOOD
4155383,BAD
4158341,GOOD
4159926,BAD
4164551,BAD
4167148,BAD
4176029,BAD
4177422,BAD
4182546,GOOD
4183387,BAD
4184140,GREAT
4185689,BAD
4191107,BAD
4200801,GOOD
4201138,GOOD
4204688,BAD
4207324,GOOD
4208810,BAD
4216182,BAD
4222860,BAD
4225091,BAD
4225737,BAD
4230401,BAD
4233448,BAD
4238408,BAD
4251388,BAD
4255302,GOOD
4258561,BAD
4261092,GOOD
4265187,BAD
4265650,BAD
4271490,BAD
4281742,OK
4300830,BAD
4302373,GOOD
4310951,GOOD
4320750,BAD
4327522,BAD
4328741,GOOD
4332124,BAD
4350741,BAD
4355044,BAD
4373214,BAD
4374192,BAD
4375711,BAD
4375909,BAD
4380363,GOOD
4386583,GOOD
4389773,BAD
4399519,GOOD
4404565,GOOD
4406981,BAD
4424541,BAD
4424955,GOOD
4429249,BAD
4431106,BAD
4438670,GOOD
4441305,OK
4449382,GOOD
4453417,BAD
4460092,BAD
4467956,BAD
4114924,GREAT
3264138,GREAT
2653304,GREAT
