dot_number,expert_label
3185115,GOOD
3186547,BAD
3190011,BAD
3192439,BAD
3192479,BAD
3203874,GOOD
3207209,OK
3210029,GOOD
3217495,GOOD
3218846,BAD
3220124,BAD
3227012,GOOD
3228356,OK
3229166,BAD
3233405,BAD
3233785,BAD
3236490,OK
3240058,BAD
3240733,BAD
3245343,BAD
3247672,BAD
3247855,GOOD
3248257,GREAT
3249577,BAD
3251904,BAD
3253698,BAD
3254709,BAD
3257754,BAD
3261152,GOOD
3263476,GOOD
3264138,GREAT
3264384,GOOD
3265461,BAD
3272559,BAD
3274004,GOOD
3274053,BAD
3274474,GREAT
3276499,BAD
3278583,BAD
3280234,GOOD
3281523,BAD
3282739,BAD
3286327,BAD
3288891,GOOD
329192,GOOD
3294286,GOOD
3294849,BAD
3298789,BAD
3301937,GOOD
3307859,BAD
3312689,BAD
3313354,BAD
3315327,BAD
3319539,BAD
3321610,BAD
3324856,BAD
3325187,BAD
3326371,BAD
3332652,BAD
3333987,GREAT
3334593,BAD
3338005,GOOD
3338695,OK
3348269,BAD
3348420,BAD
3354254,GREAT
3355456,BAD
3357395,BAD
3357476,GREAT
3359214,BAD
3360930,GOOD
3362271,BAD
3362281,BAD
3368660,OK
3370140,GOOD
3373801,BAD
3384447,GOOD
3384625,OK
3387736,BAD
3397319,GOOD
3407529,GREAT
3409258,GOOD
3409350,GOOD
3420729,BAD
3423320,GOOD
3430209,GOOD
3431708,BAD
3432677,BAD
3435289,GOOD
3437565,BAD
3440956,GOOD
3442477,GOOD
3449384,BAD
3452744,GOOD
3459166,BAD
3462936,GOOD
3465789,GOOD
3469330,GOOD
3471507,BAD
3473767,BAD
3474602,GOOD
3475474,BAD
3475927,BAD
3476740,BAD
3479590,GOOD
3489741,GOOD
3492952,BAD
3493401,GOOD
3495472,BAD
3496502,GOOD
3501936,BAD
3502698,GOOD
3503189,GOOD
3505689,GOOD
3509976,BAD
3516778,BAD
3520610,BAD
352286,GOOD
3526922,BAD
3534822,OK
3537182,GOOD
3537836,GOOD
3540467,BAD
3541519,BAD
3546294,BAD
3547622,BAD
3550099,BAD
3556121,GOOD
3563167,BAD
3575974,GOOD
3581657,BAD
3584080,BAD
3584687,GOOD
3590578,BAD
3597136,GOOD
3597276,GOOD
3598096,BAD
3599315,BAD
3601494,BAD
3604156,GOOD
3604547,BAD
3611650,GOOD
3612893,BAD
3612999,GOOD
3615323,BAD
3618901,OK
3618917,GOOD
3619475,BAD
3620639,BAD
3629302,BAD
3641894,BAD
3651357,BAD
3655087,GOOD
3655309,BAD
3660055,OK
3664999,BAD
3667007,BAD
3668568,BAD
3673378,BAD
3673627,BAD
3674653,BAD
3678142,OK
3679944,BAD
3693227,BAD
3709513,OK
3712935,BAD
3722763,BAD
3723101,BAD
3738428,GOOD
3747570,BAD
3748531,BAD
3753866,BAD
3772104,BAD
3774352,BAD
3777856,GREAT
3783838,BAD
3788193,BAD
3788233,GOOD
3793438,BAD
3802179,BAD
3803636,BAD
3812452,BAD
3819082,BAD
3848130,BAD
3855556,BAD
3856610,GOOD
3857930,BAD
3859498,GREAT
3861325,GOOD
3868764,GOOD
3869688,BAD
3874742,BAD
3876237,GOOD
3881106,BAD
3900052,BAD
3901056,BAD
3902794,BAD
3904449,GOOD
3905259,BAD
3908643,BAD
3909814,BAD
3913161,GOOD
3913855,BAD
3916779,BAD
3918030,GOOD
3919604,BAD
3924635,BAD
3925800,BAD
3937354,BAD
3938695,BAD
3946795,GOOD
3948191,BAD
395305,GREAT
3954044,BAD
3957871,BAD
3959842,BAD
3962024,BAD
3971951,GREAT
397408,GOOD
3982762,BAD
3988947,OK
3998891,GOOD
4002842,GOOD
4004539,GOOD
4005306,BAD
4010115,GOOD
4012421,BAD
4013678,BAD
4024811,BAD
4025896,BAD
4026700,BAD
4037373,BAD
4040901,BAD
4042930,GOOD
4045911,GOOD
4048937,BAD
4050470,BAD
4054827,GOOD
4054912,GREAT
4058962,GOOD
4058988,OK
4061463,BAD
4063539,BAD
4072127,BAD
4082186,BAD
4084561,BAD
4089202,GOOD
4109723,BAD
4112277,BAD
4114366,BAD
4114924,GREAT
4126304,BAD
4126321,BAD
4126703,BAD
4136077,BAD
4136975,GOOD
4137161,BAD
4137851,BAD
4138570,BAD
4145383,GOOD
4147309,BAD
4147793,BAD
4148415,BAD
4151484,GOOD
4153185,GOOD
4153643,BAD
4155383,BAD
4155503,OK
4158341,GOOD
4159926,BAD
4161082,BAD
4164551,BAD
4165600,BAD
4166044,BAD
4167148,BAD
4176029,BAD
4176082,OK
4177422,BAD
4181922,GREAT
4182546,GOOD
4183387,BAD
4184140,GREAT
4184636,GOOD
4185689,BAD
4189431,BAD
4191107,BAD
4198321,BAD
4200022,BAD
4200801,GOOD
4201138,GOOD
420403,BAD
4204654,BAD
4204688,BAD
4207324,GOOD
4208810,BAD
4210628,BAD
4216182,BAD
4216943,BAD
4222860,BAD
4225091,BAD
4225737,BAD
4230401,BAD
4231474,BAD
4233448,BAD
4238408,BAD
4241303,BAD
4242432,BAD
4242855,BAD
4243684,BAD
4248193,BAD
4251388,BAD
4253050,BAD
4255019,GOOD
4255302,GOOD
4258561,BAD
4261092,GOOD
4262200,GREAT
4265187,BAD
4265650,BAD
4270603,BAD
4271490,BAD
4272928,BAD
4276718,OK
4281742,OK
4286222,BAD
4286436,GOOD
4291270,BAD
4293593,GOOD
4300830,BAD
4302373,GOOD
4306558,BAD
4310951,GOOD
4320750,BAD
4323468,BAD
4325617,BAD
4327522,BAD
4328741,GOOD
4332124,BAD
4336133,BAD
4338841,GOOD
4347055,GOOD
4349410,BAD
4350741,BAD
4352953,BAD
4353038,BAD
4354646,GOOD
4355044,BAD
4359048,BAD
4360642,OK
4369992,BAD
4371388,OK
4371965,GOOD
4372911,BAD
4373214,BAD
4374192,BAD
4375711,BAD
4375909,BAD
4378611,GOOD
4380363,GOOD
4382017,BAD
4386583,GOOD
4389773,BAD
4397466,OK
4398544,GOOD
4399519,GOOD
4404565,GOOD
4405294,OK
4405368,GOOD
4406981,BAD
4409325,GOOD
4415312,GOOD
4421779,BAD
4424541,BAD
4424955,GOOD
4429249,BAD
4431106,BAD
4433928,BAD
4438670,GOOD
4441305,OK
4447094,GOOD
4449382,GOOD
4451251,BAD
4453417,BAD
4455216,BAD
4456022,BAD
4456547,BAD
4457456,OK
4459260,BAD
4460092,BAD
4464972,GOOD
4465154,BAD
4467956,BAD
446956,GREAT
4477151,BAD
4480531,GOOD
4488209,OK
4488409,OK
500447,BAD
509070,GREAT
509113,BAD
545169,BAD
54756,GOOD
601628,BAD
603682,GOOD
604989,GOOD
607998,GREAT
618410,BAD
625429,BAD
628906,GREAT
629029,BAD
658424,BAD
661491,BAD
662124,BAD
683431,BAD
732859,GOOD
741999,BAD
759281,BAD
77512,BAD
798666,GOOD
836764,BAD
854566,BAD
856154,BAD
872674,BAD
879314,BAD
890725,BAD
892498,BAD
893568,BAD
896764,BAD
926753,BAD
937154,BAD
947444,BAD
949729,BAD
961805,OK
967650,BAD
970267,BAD
975173,BAD
