dot_number,company_fit_score
3655309,0.7
3664999,0.7
3667007,0.7
3673378,0.7
3679944,0.7
3693227,0.7
3723101,0.7
3738428,0.7
3753866,0.7
3772104,0.7
3777856,0.7
3788193,0.7
3848130,0.7
3856610,0.7
3859498,0.7
3868764,0.7
3900052,0.7
3901056,0.7
3902794,0.7
3904449,0.7
3905259,0.7
3908643,0.7
3909814,0.7
3913161,0.7
3913855,0.7
3919604,0.7
3948191,0.7
3954044,0.7
3957871,0.7
3959842,0.7
3962024,0.7
3988947,0.7
4002842,0.7
4004539,0.7
4010115,0.7
4024811,0.7
4025896,0.7
4026700,0.7
4037373,0.7
4040901,0.7
4045911,0.7
4048937,0.7
4054827,0.7
4054912,0.7
4058962,0.7
4061463,0.7
4072127,0.7
4109723,0.7
4126304,0.7
4126321,0.7
4126703,0.7
4136077,0.7
4145383,0.7
4147793,0.7
4148415,0.7
4151484,0.7
4155383,0.7
4158341,0.7
4159926,0.7
4164551,0.7
4167148,0.7
4176029,0.7
4177422,0.7
4182546,0.7
4183387,0.7
4184140,0.7
4185689,0.7
4191107,0.7
4200801,0.7
4201138,0.7
4204688,0.7
4207324,0.7
4208810,0.7
4216182,0.7
4222860,0.7
4225091,0.7
4225737,0.7
4230401,0.7
4233448,0.7
4238408,0.7
4251388,0.7
4255302,0.7
4258561,0.7
4261092,0.7
4265187,0.7
4265650,0.7
4271490,0.7
4281742,0.7
4300830,0.7
4302373,0.7
4310951,0.7
4320750,0.7
4327522,0.7
4328741,0.7
4332124,0.7
4350741,0.7
4355044,0.7
4373214,0.7
4374192,0.7
4375711,0.7
4375909,0.7
4380363,0.7
4386583,0.7
4389773,0.7
4399519,0.7
4404565,0.7
4406981,0.7
4424541,0.7
4424955,0.7
4429249,0.7
4431106,0.7
4438670,0.7
4441305,0.7
4449382,0.7
4453417,0.7
4460092,0.7
4467956,0.7
