dot_number,legal_name,dba_name,expert_label,safer_company_snapshot_url,pc_flag,phy_street,phy_city,phy_state,phy_zip,phy_country,mailing_street,mailing_city,mailing_state,mailing_zip,mailing_country,telephone,fax,email_address,mcs150_date,mcs150_mileage,mcs150_mileage_year,add_date,oic_state,nbr_power_unit,driver_total,recent_mileage,recent_mileage_year,vmt_source_id,private_only,authorized_for_hire,exempt_for_hire,private_property,private_passenger_business,private_passenger_nonbusiness,migrant,us_mail,federal_government,state_government,local_government,indian_tribe,op_other,usdot_status,cargo_carried,num_filings,num_unique_companies,top_company,top_company_share,cancelled_method_count,replaced_method_count,name_changed_method_count,transferred_method_count,first_filing_date,last_filing_date,all_companies,count_cargo,count_bipd,count_broker_bond,count_broker_trust_fund,median_gap_days
2071334,RAHN HOME SERVICES,ON TIME SERVICE PROS,GOOD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2071334,FALSE,15191 BOULDER CT,ROSEMOUNT,MN,55068,US,15191 BOULDER CT,ROSEMOUNT,MN,55068,US,(651) 437-4177,,AVONBARGEN@ONTIMESERVICEPRO.COM,12-Sep-25,100000,2024,31-Aug-10,MN,7,11,100000,2024,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"Building Materials; General Freight; HEATING/AIR SUPP; Metal: sheets, coils, rolls",,,,,,,,,,,,,,,,
77512,THE KIESEL CO,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=77512,FALSE,4801 FYLER AVE,ST LOUIS,MO,63116,US,4801 FYLER AVE,ST LOUIS,MO,63116,US,(314) 351-5500,(314) 351-0894,PATTI@KIESELCO.COM,20-Feb-25,297312,2024,1-Jun-74,MO,47,10,297312,2024,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"Garbage/Refuse; General Freight; Liquids/Gases; Machinery, Large Objects",47,12,GREENWICH INSURANCE COMPANY,0.53191489,15,24,8,0,12/1/85,11/21/22,"AMERICAN INTERNATIONAL SPECIALTY LINES INS., CONTINENTAL CASUALTY CO., CONTINENTAL INSURANCE COMPANY, GREENWICH INSURANCE COMPANY, GUARANTY NATIONAL INSURANCE CO., INDIAN HARBOR INSURANCE COMPANY, LANDMARK AMERICAN INSURANCE COMPANY, NORTH RIVER INSURANCE CO., RELIANCE NATIONAL INDEMNITY COMPANY, THE CONTINENTAL INSURANCE CO., UNITED STATES FIRE INSURANCE CO., XL SPECIALTY INSURANCE COMPANY",5,42,0,0,0
893568,DENNIS W BROWN,UNITED RENT-ALL WEST,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=893568,FALSE,4990 G STREET,OMAHA,NE,68117,US,4990 G STREET,OMAHA,NE,68117,US,(402) 556-1600,(402) 556-9436,JARED@URAOMAHA.COM,11-Jun-24,36000,2023,19-Jul-00,NE,22,10,36000,2023,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,General Freight,,,,,,,,,,,,,,,,
683431,R & G FOOD SERVICES INC,LATITUDE CATERING,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=683431,FALSE,4650 SOUTH COACH DRIVE #110,TUCSON,AZ,85714,US,4650 SOUTH COACH DRIVE #110,TUCSON,AZ,85714,US,(520) 888-3000,(520) 792-3058,CHRISC@LATCAT.COM,12-Feb-24,187433,2023,1-Apr-97,AZ,15,10,187433,2023,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,CATERING,,,,,,,,,,,,,,,,
3738428,AMERICAN RECLAMATION INC,,GOOD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3738428,FALSE,4560 DORAN ST,LOS ANGELES,CA,90039-1006,US,4560 DORAN ST,LOS ANGELES,CA,90039-1006,US,(818) 552-4068,(818) 548-8814,JOHNG@SOCOASTREC.COM,6-Oct-21,,,6-Oct-21,CA,15,10,0,0,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,Commodities Dry Bulk; Garbage/Refuse,,,,,,,,,,,,,,,,
1284668,LARUE FARMS INC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1284668,FALSE,1209 E RD 4,MONTE VISTA,CO,81144,US,1209 E RD 4,MONTE VISTA,CO,81144,US,(719) 852-2706,(719) 852-5599,,10-Sep-04,10000,2003,10-Sep-04,CO,12,10,0,0,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"Fresh Produce; Grain, Feed, Hay",,,,,,,,,,,,,,,,
2674321,T C L INC,PAYLESS CAR RENTAL,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2674321,FALSE,6151 WEST 98TH ST,LOS ANGELES,CA,900455305,US,6151 WEST 98TH ST,LOS ANGELES,CA,900455305,US,(310) 645-2100,,,,,,12-Jun-15,CA,,10,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,,,,,,,,,,,,,,,,,
3788193,MOLO AUTO SALES LLC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3788193,FALSE,4899 BOLGER TRAIL,INVER GROVE HEIGHTS,MN,55076,US,4899 BOLGER TRAIL,INVER GROVE HEIGHTS,MN,55076,US,(651) 399-3337,,OMAR_MOLINAR1030@HOTMAIL.COM,21-Mar-25,160000,2024,27-Dec-21,MN,13,9,160000,2024,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,General Freight,1,1,UNITED FINANCIAL CASUALTY COMPANY,1,1,0,0,0,2/7/22,2/7/22,UNITED FINANCIAL CASUALTY COMPANY,0,1,0,0,
3313354,AC TRANSIT INC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3313354,FALSE,6801 E BRALY AVE,FRESNO,CA,93727,US,6801 E BRALY AVE,FRESNO,CA,93727,US,(888) 297-0121,,ACTRANSITINC@GMAIL.COM,7-Nov-23,697739,2022,21-Jul-19,CA,9,9,0,0,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,Inactive USDOT Number per 49 CFR 390.19(b)(4); Biennial update of MCS-150 data not completed,Fresh Produce; General Freight; Refrigerated Food,12,4,"A-ONE COMMERCIAL INSURANCE RRG, INC",0.75,8,4,0,0,1/24/20,7/11/23,"A-ONE COMMERCIAL INSURANCE RRG, INC, GLOBAL HAWK INSURANCE COMPANY, A RRG, PRIME INSURANCE COMPANY, SECURITY NATIONAL INSURANCE CO.",0,12,0,0,0
1099317,ERIK'S BIKE SHOP INC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1099317,FALSE,550 KASOTA AVENUE S E,MINNEAPOLIS,MN,55414,US,550 KASOTA AVENUE S E,MINNEAPOLIS,MN,55414,US,(952) 221-0190,(612) 331-0074,DKARELS@ERIKSBIKESHOP.COM,4-Aug-25,20000,2025,21-Feb-03,MN,2,9,20000,2025,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,SPORTING GOODS/B,,,,,,,,,,,,,,,,
3163973,WEST DESERT TRANSPORT INC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3163973,FALSE,3710 S 800 W,MILFORD,UT,84751,US,PO BOX 794,MILFORD,UT,84751-0794,US,(435) 691-0292,(435) 387-5252,WESTDESERTTRANSPORT@GMAIL.COM,24-Feb-25,144684,2024,23-Jul-18,UT,10,8,144684,2024,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,Construction; WATER OR SAND/RO,2,1,UNITED FINANCIAL CASUALTY COMPANY,1,2,0,0,0,6/21/23,7/26/24,UNITED FINANCIAL CASUALTY COMPANY,0,2,0,0,401
2090262,R20 TRUCKING LLC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2090262,FALSE,6124 FRANCE AVE N,BROOKLYN PARK,MN,55429,US,PO BOX 431406,BROOKLYN PARK,MN,55443,US,(763) 245-8701,,R20TRUCKINGLOAD@GMAIL.COM,24-Mar-25,410837,2024,28-Oct-10,MN,8,8,410837,2024,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,General Freight,10,5,"OOIDA RISK RETENTION GROUP, INC.",0.4,7,3,0,0,12/20/12,1/17/25,"CANAL INSURANCE CO., GREAT WEST CASUALTY CO., LANCER INSURANCE COMPANY, OOIDA RISK RETENTION GROUP, INC., SPIRIT COMMERCIAL AUTO RR GROUP, INC",0,10,0,0,178
741999,C G GREDVIG INC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=741999,FALSE,20282 SW INGLIS DR,BEAVERTON,OR,97007,US,20282 SW INGLIS DR,BEAVERTON,OR,97007,US,(503) 591-9360,,JULIE@GREDVIG.COM,25-Sep-19,1,2016,16-Apr-98,OR,9,9,0,0,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"Construction; SAND, GRAVEL, DI",,,,,,,,,,,,,,,,
1839191,STAINLESS FABRICATION INC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1839191,FALSE,4455 W KEARNEY,SPRINGFIELD,MO,65803,US,PO BOX 1127,SPRINGFIELD,MO,65801,US,(417) 865-5696,(417) 865-8764,,31-Mar-25,24166,2023,19-Dec-08,MO,7,8,24166,2023,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"Building Materials; General Freight; Machinery, Large Objects; Metal: sheets, coils, rolls",,,,,,,,,,,,,,,,
2740119,MIKE'S TOWING SERVICE INC,MIKE'S HEAVY HAUL & TRANSPORT,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2740119,FALSE,540 W SCOTTS AVENUE,STOCKTON,CA,95203,US,540 W SCOTTS AVE,STOCKTON,CA,95203,US,(209) 466-4953,(209) 466-4999,MIKESTOWINGSERVICE@SBCGLOBAL.NET,8-Jan-25,600,2021,30-Jun-15,CA,8,16,0,0,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"Building Materials; Coal/Coke; Drive/Tow away; General Freight; Grain, Feed, Hay; Intermodal Cont.; Logs, Poles, Beams, Lumber; Machinery, Large Objects; Metal: sheets, coils, rolls; Mobile Homes; Motor Vehicles; Oilfield Equipment; Utilities",,,,,,,,,,,,,,,,
3354254,ABERDEEN OFFICE EQUIPMENT,,GREAT,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3354254,FALSE,322 E 1ST ST,ABERDEEN,WA,98520-5220,US,322 E 1ST ST,ABERDEEN,WA,98520-5220,US,(360) 533-0352,(360) 533-0361,FSCOTT@ABERDEENOFFICE.COM,4-Nov-19,,,4-Nov-19,WA,1,8,0,0,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"General Freight; Machinery, Large Objects; Paper Products",,,,,,,,,,,,,,,,
2624105,TOZIERS FIRE SUPPORT LLC,AAA TOZIERS FIRE SUPPORT TFS,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2624105,FALSE,13251 WHITCHURCH LANE,CHICO,CA,95973,US,4560 BESSER COURT,CHICO,CA,95973,US,(530) 521-9904,,TIFFINI@TOZIERFIRE.COM,26-Aug-25,10000,2024,17-Apr-15,CA,8,7,10000,2024,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,TOOLS,,,,,,,,,,,,,,,,
1950309,NEMO TRUCKING INC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1950309,FALSE,3529 PEORIA,DALLAS,TX,75212,US,3529 PEORIA,DALLAS,TX,75212,US,(214) 631-2711,(214) 920-2504,,6-Oct-09,,,6-Oct-09,TX,7,7,0,0,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,CONSTRUCTION DEB,,,,,,,,,,,,,,,,
3604547,DELVI LOGISTICS LLC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3604547,FALSE,2507 ENCREEK RD,HOUSTON,TX,77068,US,2507 ENCREEK RD,HOUSTON,TX,77068-1615,US,(832) 863-7227,,DELVILOGISTICS21@GMAIL.COM,23-Jul-25,28678,2025,4-Apr-21,TX,7,4,28678,2025,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"Building Materials; General Freight; Machinery, Large Objects; Motor Vehicles",5,2,TRISURA SPECIALTY INSURANCE COMPANY,0.8,4,1,0,0,4/28/21,4/28/24,"NATIONAL LIABILITY & FIRE INS CO., TRISURA SPECIALTY INSURANCE COMPANY",0,5,0,0,338.5
1899006,GUY E BLACHLY OR LEE W BLACHLY,BLACHLY AND SONS,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1899006,FALSE,764 NORTH DEADMAN ROAD,POMEROY,WA,99347,US,764 NORTH DEADMAN ROAD,POMEROY,WA,99347,US,(509) 843-1028,,RUFFSHODTW@POMEROY-WA.COM,23-Jun-23,19327,2022,5-Jun-09,WA,7,2,0,0,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"Agricultural/Farm Supplies; Commodities Dry Bulk; Grain, Feed, Hay; Livestock",,,,,,,,,,,,,,,,
3541519,CJ LOGISTICS INC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3541519,FALSE,7304 EMERALD GREEN AVE,BAKERSFIELD,CA,93313,US,7304 EMERALD GREEN AVE,BAKERSFIELD,CA,93313,US,(661) 345-7982,,CJLOGISTIC20@YAHOO.COM,19-Mar-25,267938,2024,29-Dec-20,CA,5,7,267938,2024,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,General Freight,5,3,SECURITY NATIONAL INSURANCE CO.,0.6,3,2,0,0,3/18/21,3/18/24,"BENCHMARK INSURANCE COMPANY, SECURITY NATIONAL INSURANCE CO., TRANSVERSE SPECIALTY INSURANCE COMPANY",0,5,0,0,277.5
4233448,ENNOVARE LLC,ENNOVARE,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=4233448,FALSE,103 NEW BRAUNFELS LN,HALLSVILLE,TX,75650-9507,US,103 NEW BRAUNFELS LN,HALLSVILLE,TX,75650-9507,US,(903) 472-3150,,ERIC.OUZTS@ENNOVARE-LLC.COM,30-Apr-24,,,30-Apr-24,TX,2,7,0,0,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,General Freight,,,,,,,,,,,,,,,,
2822401,B & R COMMERCE,,GREAT,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2822401,FALSE,1951 STAUTON AVE,LOS ANGELES,CA,90058,US,1951 STAUTON AVE,LOS ANGELES,CA,90058,US,(323) 863-8510,,HOWARD@BANDRCOMMERCE.COM,28-Feb-19,50692,2015,2-Nov-15,CA,6,6,0,0,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,Household Goods,7,2,UNITED FINANCIAL CASUALTY COMPANY,0.85714286,6,1,0,0,4/21/16,9/23/21,"SCOTTSDALE INDEMNITY COMPANY, UNITED FINANCIAL CASUALTY COMPANY",0,7,0,0,323
1146879,DAKOTA LANDSCAPE AND DESIGN INC,,GREAT,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1146879,FALSE,313 ASH AVENUE NE,ST MICHAEL,MN,55376,US,313 ASH AVENUE NE,ST MICHAEL,MN,55376,US,(763) 497-5505,(763) 263-2320,DAN@DAKOTALANDSCAPE.COM,7-May-07,150000,2006,2-Jul-03,MN,6,6,0,0,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"Building Materials; Logs, Poles, Beams, Lumber; Machinery, Large Objects; PLANTS",,,,,,,,,,,,,,,,
